
Tue Jan 24 15:59:01 2012
System: AIX 7.1 Node: D-DB-NIM
Machine: 00CADA0E4C00
Internet Address: 0A070D32 10.7.13.50
At trace startup, the system contained 16 cpus, of which 16 were traced.
Buffering: Kernel Heap
This is from a 64-bit kernel.
Tracing only these hooks, 59b0,59c0



trace -aj 59B,59C -o tmp_demoted/trace.out      


ID   PROCESS NAME   CPU PID      TID      I    ELAPSED_SEC     DELTA_MSEC   APPL    SYSCALL KERNEL  INTERRUPT

001  trace          0   7012368  42139671      0.000000000       0.000000                   TRACE ON channel 0
59B  --1-           -1  -1       43384947      1.388083144       0.312769                   JFS2 IO read: vp = F10001038088E820, sid = BC013C, offset = 0000000000000000, length = 0FC0
59B  --1-           -1  -1       43384947      1.388086187       0.003043                   JFS2 IO read: vp = F10001038088E820, sid = BC013C, offset = 0000000000018888, length = 0038
59B  --1-           -1  -1       43384947      1.388089865       0.003678                   JFS2 IO read: vp = F10001038088E820, sid = BC013C, offset = 000000000001BDB0, length = 0070
59B  --1-           -1  -1       43384947      1.389147929       1.058064                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000000000000, length = 1000
59B  --1-           -1  -1       43384947      1.389155750       0.007821                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FB4F00, length = 1000
59B  --1-           -1  -1       43384947      1.389160716       0.004966                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 00000000021021B0, length = 1000
59B  --1-           -1  -1       43384947      1.389164937       0.004221                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FB4F24, length = 1000
59B  --1-           -1  -1       43384947      1.389172843       0.007906                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FB5F2C, length = 1000
59B  --1-           -1  -1       43384947      1.389179968       0.007125                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FB6F34, length = 1000
59B  --1-           -1  -1       43384947      1.389187423       0.007455                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FB7F3C, length = 1000
